Attendance,Date,Home,Away,Home_Avg_Attendance,Home_Last3_Avg,Matchup_Avg_Attendance,Home_Is_Big3,Away_Is_Big3,Day_Type,Round_Num
53617,2022-08-05,Benfica,Arouca,11951,11951,11951,1,0,weekend,1
3038,2022-08-06,Rio Ave,Vizela,11951,11951,11951,0,0,weekend,1
1473,2022-08-06,Estoril,Famalicao,11951,11951,11951,0,0,weekend,1
46309,2022-08-06,FC Porto,Maritimo,11951,11951,11951,1,0,weekend,1
1785,2022-08-07,Santa Clara,Casa Pia AC,11951,11951,11951,0,0,weekend,1
17714,2022-08-07,Braga,Sporting CP,11951,11951,11951,0,1,weekend,1
7526,2022-08-07,Chaves,Vitoria de Guimaraes,11951,11951,11951,0,0,weekend,1
2590,2022-08-07,Portimonense,Boavista,11951,11951,11951,0,0,weekend,1
4871,2022-08-08,Gil Vicente,Pacos de Ferreira,11951,11951,11951,0,0,weekday,1
4637,2022-08-12,Famalicao,Braga,11951,11951,11951,0,0,weekend,2
22253,2022-08-13,Casa Pia AC,Benfica,11951,11951,11951,0,1,weekend,2
31760,2022-08-13,Sporting CP,Rio Ave,11951,11951,11951,1,0,weekend,2
5520,2022-08-14,Boavista,Santa Clara,11951,11951,11951,0,0,weekend,2
4679,2022-08-14,Vizela,FC Porto,11951,11951,11951,0,1,weekend,2
15652,2022-08-14,Vitoria de Guimaraes,Estoril,11951,11951,11951,0,0,weekend,2
2661,2022-08-15,Pacos de Ferreira,Portimonense,11951,11951,11951,0,0,weekday,2
6827,2022-08-15,Maritimo,Chaves,11951,11951,11951,0,0,weekday,2
1759,2022-08-15,Arouca,Gil Vicente,11951,11951,11951,0,0,weekday,2
1742,2022-08-19,Estoril,Rio Ave,1473,1473,1473,0,0,weekend,3
1172,2022-08-20,Santa Clara,Arouca,1785,1785,1785,0,0,weekend,3
5489,2022-08-20,Chaves,Vizela,7526,7526,7526,0,0,weekend,3
49430,2022-08-20,FC Porto,Sporting CP,46309,46309,46309,1,1,weekend,3
1136,2022-08-21,Casa Pia AC,Boavista,22253,22253,22253,0,0,weekend,3
12358,2022-08-21,Braga,Maritimo,17714,17714,17714,0,0,weekend,3
3032,2022-08-21,Portimonense,Vitoria de Guimaraes,2590,2590,2590,0,0,weekend,3
4245,2022-08-22,Gil Vicente,Famalicao,4871,4871,4871,0,0,weekday,3
2469,2022-08-26,Pacos de Ferreira,Estoril,2661,2661,2661,0,0,weekend,4
31408,2022-08-27,Sporting CP,Chaves,31760,31760,31760,1,0,weekend,4
4785,2022-08-27,Maritimo,Portimonense,6827,6827,6827,0,0,weekend,4
10939,2022-08-27,Boavista,Benfica,5520,5520,5520,0,1,weekend,4
2348,2022-08-28,Arouca,Braga,1759,1759,1759,0,0,weekend,4
3980,2022-08-28,Rio Ave,FC Porto,3038,3038,3038,0,1,weekend,4
3636,2022-08-28,Famalicao,Santa Clara,4637,4637,4637,0,0,weekend,4
14231,2022-08-29,Vitoria de Guimaraes,Casa Pia AC,15652,15652,15652,0,0,weekday,4
2824,2022-08-29,Vizela,Gil Vicente,4679,4679,4679,0,0,weekday,4
55151,2022-08-30,Benfica,Pacos de Ferreira,53617,53617,53617,1,0,rare,3
47958,2022-09-02,Benfica,Vizela,54384,54384,54384,1,0,weekend,5
4718,2022-09-02,Estoril,Sporting CP,1608,1608,1608,0,1,weekend,5
21736,2022-09-03,Braga,Vitoria de Guimaraes,15036,15036,15036,0,0,weekend,5
8458,2022-09-03,Gil Vicente,FC Porto,4558,4558,4558,0,1,weekend,5
1022,2022-09-04,Casa Pia AC,Arouca,11694,11694,11694,0,0,weekend,5
1012,2022-09-04,Santa Clara,Maritimo,1478,1478,1478,0,0,weekend,5
1840,2022-09-04,Portimonense,Famalicao,2811,2811,2811,0,0,weekend,5
4831,2022-09-05,Boavista,Pacos de Ferreira,8230,8230,8230,0,0,weekday,5
2987,2022-09-05,Chaves,Rio Ave,6508,6508,6508,0,0,weekday,5
12132,2022-09-09,Vitoria de Guimaraes,Santa Clara,14942,14942,14942,0,0,weekend,6
44109,2022-09-10,FC Porto,Chaves,47870,47870,47870,1,0,weekend,6
29782,2022-09-10,Sporting CP,Portimonense,31584,31584,31584,1,0,weekend,6
4867,2022-09-10,Famalicao,Benfica,4136,4136,4136,0,1,weekend,6
4112,2022-09-11,Pacos de Ferreira,Casa Pia AC,2565,2565,2565,0,0,weekend,6
1395,2022-09-11,Arouca,Boavista,2054,2054,2054,0,0,weekend,6
5032,2022-09-11,Maritimo,Gil Vicente,5806,5806,5806,0,0,weekend,6
3071,2022-09-11,Rio Ave,Braga,3509,3509,3509,0,0,weekend,6
2335,2022-09-12,Vizela,Estoril,3752,3752,3752,0,0,weekday,6
1411,2022-09-16,Portimonense,Chaves,2487,2487,2487,0,0,weekend,7
